SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,DIST2LAND,LANDFALL
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-08 00:00:00,MX,-12.6,147.7,25,1005,270,270
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-08 03:00:00,MX,-12.9,147.8,,,303,303
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-08 06:00:00,MX,-13.1,147.9,25,1004,324,324
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-08 09:00:00,MX,-13.2,147.9,,,336,335
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-08 12:00:00,TS,-13.3,148.0,30,1004,347,336
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-08 15:00:00,TS,-13.5,148.0,,,336,315
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-08 18:00:00,TS,-13.7,147.9,30,1002,315,281
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-08 21:00:00,TS,-13.8,147.5,,,272,238
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-09 00:00:00,TS,-14.0,147.2,30,1000,238,214
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-09 03:00:00,TS,-14.0,147.0,,,214,190
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-09 06:00:00,TS,-14.1,146.8,40,995,196,163
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-09 09:00:00,TS,-14.0,146.4,,,163,125
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-09 12:00:00,TS,-14.0,145.9,50,992,125,95
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-09 15:00:00,TS,-14.0,145.4,,,95,46
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-09 18:00:00,TS,-14.1,144.9,50,990,46,22
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-09 21:00:00,TS,-14.1,144.5,55,991,22,11
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-10 00:00:00,TS,-14.3,144.2,55,992,15,10
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-10 03:00:00,TS,-14.4,144.0,45,993,10,0
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-10 06:00:00,TS,-14.6,143.7,35,994,0,0
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-10 09:00:00,TS,-14.6,143.3,,,0,0
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-10 12:00:00,TS,-14.6,142.8,30,1003,0,0
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-10 15:00:00,TS,-14.6,142.2,,,0,0
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-10 18:00:00,TS,-14.6,141.7,30,1002,0,0
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-10 21:00:00,TS,-14.5,141.4,,,10,10
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-11 00:00:00,TS,-14.6,141.1,35,1000,43,43
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-11 03:00:00,TS,-14.8,140.6,,,102,102
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-11 06:00:00,TS,-15.0,139.9,35,998,180,180
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-11 09:00:00,TS,-15.0,139.0,,,193,136
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-11 12:00:00,TS,-14.9,138.1,50,995,136,79
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-11 15:00:00,TS,-14.9,137.4,,,79,55
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-11 18:00:00,TS,-14.8,136.7,50,992,55,55
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-11 21:00:00,TS,-14.7,136.1,,,58,0
2022008S13148,2022,1,SP,EA,TIFFANY,2022-01-12 00:00:00,TS,-14.7,135.5,50,988,0,0
2022008S13148,2022,1,SI,WA,TIFFANY,2022-01-12 03:00:00,TS,-14.5,134.6,,,0,0
2022008S13148,2022,1,SI,WA,TIFFANY,2022-01-12 06:00:00,TS,-14.5,133.7,35,992,0,0
2022008S13148,2022,1,SI,WA,TIFFANY,2022-01-12 09:00:00,TS,-14.6,133.2,,,0,0
2022008S13148,2022,1,SI,WA,TIFFANY,2022-01-12 12:00:00,TS,-14.8,132.8,30,998,0,0
2022008S13148,2022,1,SI,WA,TIFFANY,2022-01-12 15:00:00,TS,-14.9,132.2,,,0,0
2022008S13148,2022,1,SI,WA,TIFFANY,2022-01-12 18:00:00,TS,-15.1,131.7,20,1000,0,0
2022008S13148,2022,1,SI,WA,TIFFANY,2022-01-12 21:00:00,TS,-15.3,131.2,,,0,0
2022008S13148,2022,1,SI,WA,TIFFANY,2022-01-13 00:00:00,TS,-15.4,130.6,15,1002,0,0
2022008S13148,2022,1,SI,WA,TIFFANY,2022-01-13 03:00:00,TS,-15.5,130.0,,,0,0
2022008S13148,2022,1,SI,WA,TIFFANY,2022-01-13 06:00:00,MX,-15.6,129.4,15,1000,0,0
2022008S13148,2022,1,SI,WA,TIFFANY,2022-01-13 09:00:00,MX,-15.7,128.7,,,0,0
2022008S13148,2022,1,SI,WA,TIFFANY,2022-01-13 12:00:00,MX,-15.9,128.0,15,1000,0,0
2022008S13148,2022,1,SI,WA,TIFFANY,2022-01-13 15:00:00,MX,-15.9,127.4,,,0,0
2022008S13148,2022,1,SI,WA,TIFFANY,2022-01-13 18:00:00,MX,-16.0,127.0,15,1000,0,0
2022008S13148,2022,1,SI,WA,TIFFANY,2022-01-13 21:00:00,MX,-16.0,126.6,,,0,0
